COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
478,1410007012,P FARM RF FDG DIPPED,7 OZ,1,1282020
478,1410007016,PEP FRM CHERRY COBBL,9 OZ,1,1282370
478,1410007056,~PF,5.3 OZ,24,1282670
480,1410007070,PEP FARM KID'S PACK,1.75 O,54,9880510
478,1410007174,PPF PERSONAL FAVORIT,5 OZ,1,1282120
478,1410007188,PPF DESSERT FAVORITE,9.25OZ,1,1282130
478,1410007219,$PEPP FARM CAFE' FAV,8.25OZ,1,1282490
478,1410007223,PF GOLDFISH COOKIES,24/10O,1,1282640
478,1410007233,PPF PARTY FAVORITES,13.25O,1,1282170
478,1410007234,PF GOLDFISH COOKIES,24/10O,1,1282620
478,1410007297,PPF FAM REQ CHOCOLAT,10 OZ,1,1282240
478,1410007402,P FARM SOUTHPORT ASS,9.75 O,1,1282020
478,1410007403,MILANO SINGLE SERVE,.5 OZ,1,9811590
478,1410007404,CHOCOLATE CHANTILLY,7.25 O,1,1282230
478,1410007405,P FARM CHAMPAGNE ASS,7.75OZ,1,1282080
478,1410007406,P FARM PIROUETTE,5.5 OZ,1,1282120
478,1410007407,CHESSMAN SINGLE SERV,.75 OZ,1,9811600
478,1410007408,P FARM CHOCOLATE PIR,5.5 OZ,1,1282140
478,1410007410,$PEPP FARM BORDEAUX,6.75 O,1,1282530
478,1410007411,PEPPERIDGE FARM LIDO,7 OZ,1,1282360
478,1410007412,P FARM MILANO PP,6 OZ,1,1282220
480,1410007413,CAMPBELLS SOUP OYSTE,8.5 OZ,1,9852080
478,1410007414,P FARM TAHITI,6.25OZ,1,1282260
478,1410007415,P FARM NASSAU,6.5 OZ,1,1282280
478,1410007416,PEPPERIDGE FARM CAPR,6.5 OZ,1,1282350
478,1410007419,P FARM GENEVA COOKIE,5.5 OZ,1,1289250
478,1410007420,$PEPP FARM BRUSSEL M,6.25OZ,1,1282460
478,1410007421,P F CHOC CHUNK PECAN,6.5 OZ,1,1282530
478,1410007422,PF MEDAILLIN AU BEUR,4.6 OZ,22,1282830
478,1410007424,P FARM CAPPUCINO COO,6 OZ,1,1282940
478,1410007429,P FARM HAZELNUT,8 OZ,1,1282670
477,1410007430,P. FARM AQUARIUM PAC,2 OZ,1,9808960
478,1410007431,$PEPP FARM CHOCOLATE,5 OZ,1,1282470
478,1410007433,P FARM O/F OATMEAL R,6 OZ,1,1282640
478,1410007434,~P FARM O/F LEM NUT,5.5 OZ,1,1282660
478,1410007435,P FARM ORANGE MILANO,7 OZ,1,1282180
478,1410007436,$PF O/F BRN CHO NUT,5.5 OZ,1,1282620
478,1410007438,P FARM O/F SUGAR COO,5.25OZ,1,1282740
478,1410007440,P F MLK CHOC MACADAM,6.5 OZ,1,1282550
478,1410007441,P FARM FUDGE STRIPE,7 OZ,1,1282230
478,1410007443,P FARM O/F IRISH OAT,5 OZ,1,1282780
478,1410007444,P FARM OLD FASH SHOR,5.5 OZ,1,1282700
478,1410007445,P FARM O/F GINGERMAN,5 OZ,1,1282650
478,1410007446,P FARM O/F MOLASSES,5.75 O,1,1282150
480,1410007448,CHEDDAR GOLDFISH SNK,.5 OZ,1,9811620
478,1410007457,SELECTION DE CHOIX P,7.1 OZ,12,1283210
478,1410007462,P FARM APRICOT RASP,6.75 O,1,1282100
478,1410007464,P FARM STRAWBERRY CO,6.75 O,1,1282110
478,1410007471,P. FARM MONTE CARLO,16.75O,24,9882990
478,1410007472,P FARM DOUBLE CHOC M,7.5 OZ,1,1282190
478,1410007478,PEPPRDGE FRM ZURICH,7.25 O,1,1282130
478,1410007481,~P FARM CARM PEC SOF,9 OZ,1,1282680
478,1410007482,PEP FARM OATMEAL RAI,9 OZ,1,1282750
478,1410007505,PECAN SHORTBREAD,5.5 OZ,1,1282290
478,1410007506,CHOCOLATE TOFFEE CHI,5.5 OZ,1,1282300
478,1410007514,PPF FAM REQ OATMEAL,11.5OZ,1,1282250
478,1410007515,CARROT WALNUT,6.25OZ,1,1282990
478,1410007516,WALNUT DATE,6.25OZ,1,1282960
478,1410007517,CRANBERRY HONEY,6.25OZ,1,1282970
478,1410007518,OATMEAL RAISIN,6.25OZ,1,1282950
479,1410007522,P FARM TAHOE AMER CO,7.25 O,1,1282610
478,1410007523,PPF FAM REQ CINN SUG,10 OZ,1,1282260
478,1410007524,PPF FAM REQ PEANUT B,10.25O,1,1282270
479,1410007537,`P FARM CHARLESTON A,7.25 O,1,1282510
478,1410007549,P FARM RF BROWNIE NU,7 OZ,1,1282240
478,1410007560,APPLE OATMEAL TART,6.75 O,1,1283010
478,1410007561,PEP FRM RASPBERRY TA,6.75 O,1,1283000
478,1410007567,P FARM MILK CHOC MIL,6.25OZ,1,1292260
478,1410007580,PEP FRM PEACH TART P,6.25OZ,1,1282380
478,1410007583,PF GOLDFISH COOKIES,24/10,1,1282600
478,1410007596,PF ESPRIT BLANC,5.3 OZ,24,1282790
478,1410007619,SAUSALITO SINGLE SER,.5 OZ,1,9811570
478,1410007634,PEP FRM CHC DIP BORD,6.75 O,1,1282350
478,1410007649,CHESAPEAKE SINGLE SE,.5 OZ,1,9811580
480,1410007664,P FARM HALLOWEEN GOL,5 OZ,1,9813050
478,1410007665,PPF CHOCOLATE CHUNK,9.25OZ,1,1282630
478,1410007666,P. FARM PARIS COOKIE,8.5 OZ,1,1282090
478,1410007667,PEP FRM SOFT M/CHC M,9.25OZ,1,1282680
478,1410007668,$PF CHOC CHOC WALNUT,9.25OZ,1,1282450
478,1410007669,P FARM SEVILLE ASSTM,9.25 O,1,1282060
478,1410007686,MINT MILANO SNGL SER,.75 OZ,1,9811610
478,1410007687,CHOCOLATE CHIP SINGL,.75 OZ,1,9811560
478,1410007695,PF DELICE AU CHOCOLA,5.3 OZ,24,1283170
478,1410007696,NANTUCKET SINGLE SER,.5 OZ,1,9811550
478,1410007706,PF AMER COL BEACON H,6 OZ,1,128256
478,1410007708,PF AMER COL CHESAPEA,6 OZ,1,1282570
478,1410007712,PF AMER COL SAUSALIT,6 OZ,1,1282580
478,1410007713,PF AMER COL NANTUCKE,6 OZ,1,1282590
478,1410007729,$PF AMER COL SANTE F,6 OZ,1,1282440
485,1410007742,P.F. NUTTY DEL. GOLD,9.25 O,1,1283200
478,1410007765,PF HIGHLAND SHORTBRE,7.1 OZ,20,1283190
478,1410007773,P FARM FF CHOC FUDGE,6.4 OZ,1,1282120
478,1410007774,ICED FF OATMEAL RAIS,6.4 OZ,1,1282680
478,1410007775,RASPBERRY CHANTILLY,6.25OZ,1,1282670
478,1410007798,DAKOTA AMERICAN COLL,6.5 OZ,1,1282520
478,1410007825,CHEYENNE AMERICAN CO,6.5 OZ,1,1282510
478,1410007863,PEPPERIDGE FARM LINZ,8 OZ,1,1282390
478,1410007864,PEPPERDG FRM CHANTIL,7.5 OZ,1,1282400
478,1410007906,P FARM DATE PECAN,5.75 O,1,1282910
478,1410007907,P FARM RAISIN BRAN,5.5 OZ,1,1282920
